observation_date,GBRCPIENGMINMEI
2014-11-01,106.2999999999999972
2014-12-01,104.0000000000000000
2015-01-01,100.5000000000000000
2015-02-01,99.9000000000000057
2015-03-01,100.7000000000000028
2015-04-01,101.4000000000000057
2015-05-01,102.0999999999999943
2015-06-01,102.4000000000000057
2015-07-01,102.0000000000000000
2015-08-01,100.4000000000000057
2015-09-01,98.5999999999999943
2015-10-01,98.2000000000000028
2015-11-01,97.5999999999999943
2015-12-01,96.2999999999999972
2016-01-01,95.0000000000000000
2016-02-01,94.2999999999999972
2016-03-01,94.4000000000000057
2016-04-01,95.5999999999999943
2016-05-01,97.0000000000000000
2016-06-01,98.2000000000000028
2016-07-01,98.5000000000000000
2016-08-01,97.7999999999999972
2016-09-01,98.5000000000000000
2016-10-01,99.9000000000000057
2016-11-01,100.5999999999999943
2016-12-01,100.5999999999999943
2017-01-01,102.2999999999999972
2017-02-01,102.7999999999999972
2017-03-01,102.5999999999999943
2017-04-01,102.2999999999999972
2017-05-01,102.9000000000000057
2017-06-01,102.2999999999999972
2017-07-01,102.0999999999999943
2017-08-01,103.0000000000000000
2017-09-01,104.0999999999999943
2017-10-01,104.5999999999999943
2017-11-01,105.5999999999999943
2017-12-01,106.0999999999999943
2018-01-01,106.5999999999999943
2018-02-01,106.5000000000000000
2018-03-01,105.9000000000000057
2018-04-01,106.9000000000000057
2018-05-01,108.9000000000000057
2018-06-01,111.2000000000000028
2018-07-01,111.7000000000000028
2018-08-01,112.2000000000000028
2018-09-01,113.7999999999999972
2018-10-01,115.5000000000000000
2018-11-01,114.7999999999999972
2018-12-01,112.2000000000000028
2019-01-01,107.7000000000000028
2019-02-01,107.5999999999999943
2019-03-01,108.2000000000000028
2019-04-01,114.7999999999999972
2019-05-01,116.4000000000000057
2019-06-01,116.0999999999999943
2019-07-01,115.5000000000000000
2019-08-01,115.7999999999999972
2019-09-01,115.5000000000000000
2019-10-01,112.5000000000000000
2019-11-01,112.0999999999999943
2019-12-01,111.7999999999999972
2020-01-01,112.9000000000000057
2020-02-01,111.5000000000000000
2020-03-01,109.0000000000000000
2020-04-01,104.0000000000000000
2020-05-01,102.7999999999999972
2020-06-01,103.0000000000000000
2020-07-01,104.9000000000000057
2020-08-01,105.5000000000000000
2020-09-01,105.5000000000000000
2020-10-01,101.9000000000000057
2020-11-01,101.5999999999999943
2020-12-01,102.5000000000000000
2021-01-01,103.5999999999999943
2021-02-01,105.0999999999999943
2021-03-01,106.5000000000000000
2021-04-01,112.0000000000000000
2021-05-01,112.7000000000000028
2021-06-01,113.7999999999999972
2021-07-01,114.9000000000000057
2021-08-01,115.5000000000000000
2021-09-01,115.7999999999999972
2021-10-01,124.7000000000000028
2021-11-01,127.7000000000000028
2021-12-01,127.5999999999999943
2022-01-01,127.5999999999999943
2022-02-01,129.0000000000000000
2022-03-01,136.1999999999999886
2022-04-01,170.0000000000000000
2022-05-01,172.0000000000000000
2022-06-01,178.8000000000000114
2022-07-01,181.0999999999999943
2022-08-01,175.4000000000000057
2022-09-01,173.0000000000000000
2022-10-01,197.8000000000000114
2022-11-01,198.0999999999999943
2022-12-01,194.4000000000000057
2023-01-01,192.3000000000000114
2023-02-01,191.4000000000000057
2023-03-01,190.3000000000000114
2023-04-01,187.9000000000000057
2023-05-01,185.9000000000000057
2023-06-01,184.0000000000000000
2023-07-01,166.1999999999999886
2023-08-01,169.0999999999999943
2023-09-01,171.8000000000000114
2023-10-01,166.1999999999999886
2023-11-01,164.1999999999999886
2023-12-01,160.5000000000000000
2024-01-01,163.4000000000000057
2024-02-01,164.6999999999999886
2024-03-01,165.9000000000000057
2024-04-01,156.1999999999999886
2024-05-01,156.1999999999999886
2024-06-01,154.3000000000000114
2024-07-01,148.0999999999999943
2024-08-01,146.9000000000000057
2024-09-01,144.0000000000000000
2024-10-01,149.5000000000000000
2024-11-01,149.9000000000000057
